key,english,french
about.active_lifestyle,Active Lifestyle,Style de Vie Actif
about.active_lifestyle_desc,"We believe in movement as a driver of well-being: hiking, cycling, trail running, kayaking... all in preserved natural settings.","Nous croyons au mouvement comme moteur du bien-être : randonnées, vélo, trail, kayak… dans des cadres naturels préservés."
about.commitments,Our Commitments,Nos Engagements
about.expertise,Passion & Expertise,Passion & Expertise
about.expertise_desc,"Every experience is tested, validated, and thoughtfully designed by a dedicated team passionate about the field.","Chaque expérience est testée, validée, et imaginée avec soin par une équipe engagée et passionnée du terrain."
about.founder_name,"Seif Ben Helel, Founder","Seif Ben Helel, Fondateur"
about.founder_quote,"Through L'Aventurier, I want to offer more than just a trip: a reconnection — to nature, to others, and to oneself.","À travers L'Aventurier, je veux offrir plus qu'un simple voyage : une reconnexion à la nature, aux autres, et à soi-même."
about.founder_story,"Originally from Djerba, Seif is the soul behind L'Aventurier and the creator of the GO Adventure platform. After earning a degree in accounting, he founded Jerba International Travel in 2009 before following his true passion: outdoor sports, nature, and human connection. Since 2018, he has become a major figure in Tunisia's trail running scene, bringing together a community of young talents, artisans, athletes, and local stakeholders to create tourism that is vibrant, responsible, and connected to what truly matters.","Originaire de Djerba, Seif est l'âme derrière L'Aventurier et l'initiateur de la plateforme GO Adventure. Diplômé en sciences comptables, il crée en 2009 l'agence Jerba International Travel, avant de se tourner vers ce qui l'anime profondément : Le sport outdoor, la nature, et le partage humain. Depuis 2018, il s'impose comme un acteur majeur de la scène trail en Tunisie et fédère autour de lui une communauté de jeunes talents, d'artisans, de sportifs et d'acteurs locaux pour imaginer un tourisme à la fois vivant, responsable et connecté à l'essentiel."
about.founder_title,The Founder - Seif Ben Helel,Le Fondateur - Seif Ben Helel
about.hero_subtitle,"Go Adventure is much more than a booking platform. It's the digital extension of our L'Aventurier brand, designed to offer sustainable, active, and deeply human tourism.","Go Adventure est bien plus qu'une simple plateforme de réservation. C'est l'extension numérique de notre marque L'Aventurier, pensée pour proposer un tourisme durable, actif et profondément humain."
about.hero_title,Go Adventure — Explore Differently,Go Adventure — Explorer autrement
about.impact,Our Impact,Notre Impact
about.impact_desc,1% of our profits goes to educational and solidarity projects supporting local youth.,1% de nos bénéfices est reversé à des projets éducatifs et solidaires pour la jeunesse locale.
about.initiatives,Community Initiatives,Initiatives solidaires
about.initiatives_bullet1,Educational & sports workshops,Ateliers éducatifs & sportifs
about.initiatives_bullet2,"Awareness days (ecology, heritage, crafts)","Journées de sensibilisation (écologie, patrimoine, artisanat)"
about.initiatives_bullet3,Highlighting social and solidarity economy actors,Mise en valeur d'acteurs de l'économie sociale et solidaire
